Joggler,Giduz_Path,Giduz_Number,Nationality,Gender
Ryan Himmel,No Connection to Bill Giduz,inf,USA,M
Koutaro Kawano,No Connection to Bill Giduz,inf,JPN,M
Ferda Tekgül,No Connection to Bill Giduz,inf,TUR,M
Reggie L,No Connection to Bill Giduz,inf,GBR,M
Malachy Kelly,No Connection to Bill Giduz,inf,IRL,M
JoAnn Ireland,No Connection to Bill Giduz,inf,USA,F
Peter Rupprecht,No Connection to Bill Giduz,inf,DEU,M
Daniel Raum,No Connection to Bill Giduz,inf,AUT,M
Gopi Devarajulu,No Connection to Bill Giduz,inf,IND,M
Nati Tuppen,No Connection to Bill Giduz,inf,GBR,F
Charlie Freeman,No Connection to Bill Giduz,inf,USA,M
Aaron Scott,No Connection to Bill Giduz,inf,USA,M
John Riden,No Connection to Bill Giduz,inf,USA,M
Marla Edgecomb,No Connection to Bill Giduz,inf,USA,F
Craig Muhlenkamp,No Connection to Bill Giduz,inf,USA,M
Justin Delong,No Connection to Bill Giduz,inf,USA,M
Roy van Rijn,No Connection to Bill Giduz,inf,NLD,M
David Rush,No Connection to Bill Giduz,inf,USA,M
Necmi Oztoprak,No Connection to Bill Giduz,inf,TUR,M
John Jervis,No Connection to Bill Giduz,inf,GBR,M
David Livingston,No Connection to Bill Giduz,inf,USA,M
