2000m SC,3000m,3000m SC,2 Miles,5000m,10000m,Points
6:26.71,9:03.28,10:00.23,9:43.80,15:35.87,32:50.96,1095
6:26.93,9:03.58,10:00.65,9:44.13,15:36.40,32:52.11,1094
6:27.16,9:03.88,10:01.07,9:44.45,15:36.93,32:53.27,1093
6:27.38,9:04.18,10:01.48,9:44.78,15:37.46,32:54.42,1092
6:27.61,9:04.48,10:01.90,9:45.10,15:37.99,32:55.58,1091
6:27.83,9:04.78,10:02.31,9:45.43,15:38.53,32:56.74,1090
6:28.06,9:05.08,10:02.73,9:45.75,15:39.06,32:57.90,1089
6:28.29,9:05.38,10:03.15,9:46.08,15:39.59,32:59.05,1088
6:28.51,9:05.69,10:03.56,9:46.41,15:40.13,33:00.21,1087
6:28.74,9:05.99,10:03.98,9:46.73,15:40.66,33:01.37,1086
6:28.96,9:06.29,10:04.40,9:47.06,15:41.19,33:02.53,1085
6:29.19,9:06.59,10:04.82,9:47.39,15:41.73,33:03.69,1084
6:29.42,9:06.89,10:05.23,9:47.71,15:42.26,33:04.85,1083
6:29.64,9:07.19,10:05.65,9:48.04,15:42.80,33:06.02,1082
6:29.87,9:07.49,10:06.07,9:48.37,15:43.33,33:07.18,1081
6:30.10,9:07.80,10:06.49,9:48.70,15:43.87,33:08.34,1080
6:30.32,9:08.10,10:06.91,9:49.02,15:44.40,33:09.50,1079
6:30.55,9:08.40,10:07.32,9:49.35,15:44.94,33:10.67,1078
6:30.78,9:08.70,10:07.74,9:49.68,15:45.47,33:11.83,1077
6:31.01,9:09.00,10:08.16,9:50.01,15:46.01,33:13.00,1076
6:31.23,9:09.31,10:08.58,9:50.34,15:46.55,33:14.16,1075
6:31.46,9:09.61,10:09.00,9:50.66,15:47.08,33:15.33,1074
6:31.69,9:09.91,10:09.42,9:50.99,15:47.62,33:16.49,1073
6:31.91,9:10.22,10:09.84,9:51.32,15:48.16,33:17.66,1072
6:32.14,9:10.52,10:10.26,9:51.65,15:48.69,33:18.83,1071
6:32.37,9:10.82,10:10.68,9:51.98,15:49.23,33:19.99,1070
6:32.60,9:11.13,10:11.10,9:52.31,15:49.77,33:21.16,1069
6:32.83,9:11.43,10:11.52,9:52.64,15:50.31,33:22.33,1068
6:33.05,9:11.73,10:11.94,9:52.97,15:50.85,33:23.50,1067
6:33.28,9:12.04,10:12.36,9:53.30,15:51.38,33:24.67,1066
6:33.51,9:12.34,10:12.78,9:53.63,15:51.92,33:25.84,1065
6:33.74,9:12.64,10:13.20,9:53.96,15:52.46,33:27.01,1064
6:33.97,9:12.95,10:13.63,9:54.29,15:53.00,33:28.19,1063
6:34.20,9:13.25,10:14.05,9:54.62,15:53.54,33:29.36,1062
6:34.43,9:13.56,10:14.47,9:54.95,15:54.08,33:30.53,1061
6:34.65,9:13.86,10:14.89,9:55.28,15:54.62,33:31.70,1060
6:34.88,9:14.17,10:15.31,9:55.61,15:55.16,33:32.88,1059
6:35.11,9:14.47,10:15.74,9:55.94,15:55.70,33:34.05,1058
6:35.34,9:14.78,10:16.16,9:56.27,15:56.24,33:35.23,1057
6:35.57,9:15.08,10:16.58,9:56.60,15:56.78,33:36.40,1056
6:35.80,9:15.39,10:17.01,9:56.93,15:57.33,33:37.58,1055
6:36.03,9:15.69,10:17.43,9:57.27,15:57.87,33:38.76,1054
6:36.26,9:16.00,10:17.85,9:57.60,15:58.41,33:39.93,1053
6:36.49,9:16.31,10:18.28,9:57.93,15:58.95,33:41.11,1052
6:36.72,9:16.61,10:18.70,9:58.26,15:59.49,33:42.29,1051
6:36.95,9:16.92,10:19.12,9:58.59,16:00.04,33:43.47,1050
6:37.18,9:17.22,10:19.55,9:58.93,16:00.58,33:44.65,1049
6:37.41,9:17.53,10:19.97,9:59.26,16:01.12,33:45.83,1048
