100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,Points
,,,32.08,45.38,49.52,38.94,1:21.73,3:02.47,1154
,13.53,20.43,32.09,45.39,49.54,38.95,1:21.76,3:02.53,1153
10.16,,20.44,32.10,45.40,49.56,38.97,1:21.79,3:02.60,1152
,13.54,,32.12,45.42,49.58,38.98,1:21.81,3:02.66,1151
,,20.45,32.13,45.43,49.60,38.99,1:21.84,3:02.73,1150
,13.55,20.46,32.14,45.45,49.62,39.01,1:21.87,3:02.80,1149
10.17,,,32.15,45.46,49.64,39.02,1:21.89,3:02.86,1148
,13.56,20.47,32.16,45.48,49.66,39.03,1:21.92,3:02.93,1147
,,20.48,32.17,45.49,49.68,39.05,1:21.95,3:02.99,1146
10.18,13.57,,32.18,45.51,49.70,39.06,1:21.97,3:03.06,1145
,,20.49,32.19,45.52,49.72,39.07,1:22.00,3:03.13,1144
,13.58,20.50,32.20,45.54,49.74,39.09,1:22.03,3:03.19,1143
10.19,,,32.21,45.55,49.76,39.10,1:22.06,3:03.26,1142
,13.59,20.51,32.23,45.57,49.78,39.11,1:22.08,3:03.32,1141
,13.60,,32.24,45.58,49.80,39.13,1:22.11,3:03.39,1140
,,20.52,32.25,45.59,49.82,39.14,1:22.14,3:03.46,1139
10.20,13.61,20.53,32.26,45.61,49.84,39.15,1:22.16,3:03.52,1138
,,,32.27,45.62,49.86,39.17,1:22.19,3:03.59,1137
,13.62,20.54,32.28,45.64,49.88,39.18,1:22.22,3:03.65,1136
10.21,,20.55,32.29,45.65,49.90,39.19,1:22.25,3:03.72,1135
,13.63,,32.30,45.67,49.92,39.21,1:22.27,3:03.79,1134
,,20.56,32.31,45.68,49.94,39.22,1:22.30,3:03.85,1133
10.22,13.64,20.57,32.32,45.70,49.96,39.23,1:22.33,3:03.92,1132
,,,32.33,45.71,49.98,39.25,1:22.35,3:03.99,1131
,13.65,20.58,32.35,45.73,50.00,39.26,1:22.38,3:04.05,1130
,,20.59,32.36,45.74,50.02,39.27,1:22.41,3:04.12,1129
10.23,13.66,,32.37,45.76,50.04,39.29,1:22.44,3:04.18,1128
,13.67,20.60,32.38,45.77,50.06,39.30,1:22.46,3:04.25,1127
,,20.61,32.39,45.79,50.08,39.31,1:22.49,3:04.32,1126
10.24,13.68,,32.40,45.80,50.10,39.33,1:22.52,3:04.38,1125
,,20.62,32.41,45.82,50.12,39.34,1:22.55,3:04.45,1124
,13.69,20.63,32.42,45.83,50.14,39.35,1:22.57,3:04.52,1123
