2000m SC,3000m,3000m SC,2 Miles,5000m,10000m,Points
5:29.11,7:49.29,8:30.58,8:25.65,13:25.04,28:08.01,1120
5:29.26,7:49.45,8:30.81,8:25.83,13:25.32,28:08.66,1119
5:29.41,7:49.62,8:31.04,8:26.01,13:25.61,28:09.31,1118
5:29.56,7:49.79,8:31.27,8:26.18,13:25.89,28:09.97,1117
5:29.71,7:49.95,8:31.49,8:26.36,13:26.17,28:10.62,1116
5:29.85,7:50.12,8:31.72,8:26.54,13:26.46,28:11.28,1115
5:30.00,7:50.28,8:31.95,8:26.72,13:26.74,28:11.93,1114
5:30.15,7:50.45,8:32.18,8:26.90,13:27.03,28:12.58,1113
5:30.30,7:50.61,8:32.41,8:27.08,13:27.31,28:13.24,1112
5:30.45,7:50.78,8:32.63,8:27.26,13:27.60,28:13.89,1111
5:30.59,7:50.95,8:32.86,8:27.44,13:27.88,28:14.55,1110
5:30.74,7:51.11,8:33.09,8:27.61,13:28.17,28:15.21,1109
5:30.89,7:51.28,8:33.32,8:27.79,13:28.45,28:15.86,1108
5:31.04,7:51.45,8:33.55,8:27.97,13:28.74,28:16.52,1107
5:31.19,7:51.61,8:33.78,8:28.15,13:29.02,28:17.17,1106
5:31.34,7:51.78,8:34.01,8:28.33,13:29.31,28:17.83,1105
5:31.49,7:51.95,8:34.24,8:28.51,13:29.59,28:18.49,1104
5:31.64,7:52.11,8:34.46,8:28.69,13:29.88,28:19.15,1103
5:31.78,7:52.28,8:34.69,8:28.87,13:30.16,28:19.80,1102
5:31.93,7:52.45,8:34.92,8:29.05,13:30.45,28:20.46,1101
5:32.08,7:52.61,8:35.15,8:29.23,13:30.73,28:21.12,1100
5:32.23,7:52.78,8:35.38,8:29.41,13:31.02,28:21.78,1099
5:32.38,7:52.95,8:35.61,8:29.59,13:31.31,28:22.44,1098
5:32.53,7:53.11,8:35.84,8:29.77,13:31.59,28:23.10,1097
5:32.68,7:53.28,8:36.07,8:29.95,13:31.88,28:23.76,1096
5:32.83,7:53.45,8:36.30,8:30.13,13:32.17,28:24.42,1095
5:32.98,7:53.62,8:36.53,8:30.31,13:32.45,28:25.08,1094
5:33.13,7:53.78,8:36.76,8:30.49,13:32.74,28:25.74,1093
5:33.28,7:53.95,8:36.99,8:30.67,13:33.03,28:26.40,1092
5:33.43,7:54.12,8:37.22,8:30.85,13:33.31,28:27.06,1091
5:33.58,7:54.29,8:37.45,8:31.03,13:33.60,28:27.72,1090
5:33.73,7:54.45,8:37.68,8:31.21,13:33.89,28:28.38,1089
5:33.88,7:54.62,8:37.91,8:31.39,13:34.18,28:29.05,1088
5:34.03,7:54.79,8:38.14,8:31.57,13:34.46,28:29.71,1087
5:34.18,7:54.96,8:38.38,8:31.75,13:34.75,28:30.37,1086
5:34.33,7:55.13,8:38.61,8:31.94,13:35.04,28:31.03,1085
5:34.48,7:55.29,8:38.84,8:32.12,13:35.33,28:31.70,1084
5:34.63,7:55.46,8:39.07,8:32.30,13:35.62,28:32.36,1083
5:34.78,7:55.63,8:39.30,8:32.48,13:35.90,28:33.02,1082
5:34.93,7:55.80,8:39.53,8:32.66,13:36.19,28:33.69,1081
5:35.08,7:55.97,8:39.76,8:32.84,13:36.48,28:34.35,1080
5:35.23,7:56.14,8:40.00,8:33.02,13:36.77,28:35.02,1079
5:35.38,7:56.31,8:40.23,8:33.20,13:37.06,28:35.68,1078
5:35.53,7:56.47,8:40.46,8:33.39,13:37.35,28:36.35,1077
5:35.68,7:56.64,8:40.69,8:33.57,13:37.64,28:37.01,1076
5:35.83,7:56.81,8:40.92,8:33.75,13:37.93,28:37.68,1075
5:35.98,7:56.98,8:41.15,8:33.93,13:38.22,28:38.35,1074
5:36.13,7:57.15,8:41.39,8:34.11,13:38.51,28:39.01,1073
5:36.28,7:57.32,8:41.62,8:34.30,13:38.80,28:39.68,1072
5:36.43,7:57.49,8:41.85,8:34.48,13:39.09,28:40.35,1071
5:36.58,7:57.66,8:42.08,8:34.66,13:39.37,28:41.01,1070
5:36.74,7:57.83,8:42.32,8:34.84,13:39.67,28:41.68,1069
5:36.89,7:58.00,8:42.55,8:35.03,13:39.96,28:42.35,1068
5:37.04,7:58.17,8:42.78,8:35.21,13:40.25,28:43.02,1067
5:37.19,7:58.34,8:43.02,8:35.39,13:40.54,28:43.69,1066
5:37.34,7:58.51,8:43.25,8:35.57,13:40.83,28:44.36,1065
5:37.49,7:58.67,8:43.48,8:35.76,13:41.12,28:45.03,1064
5:37.64,7:58.84,8:43.72,8:35.94,13:41.41,28:45.70,1063
5:37.80,7:59.01,8:43.95,8:36.12,13:41.70,28:46.37,1062
5:37.95,7:59.18,8:44.18,8:36.30,13:41.99,28:47.04,1061
5:38.10,7:59.35,8:44.42,8:36.49,13:42.28,28:47.71,1060
5:38.25,7:59.52,8:44.65,8:36.67,13:42.57,28:48.38,1059
5:38.40,7:59.70,8:44.88,8:36.85,13:42.86,28:49.05,1058
5:38.56,7:59.87,8:45.12,8:37.04,13:43.16,28:49.72,1057
5:38.71,8:00.04,8:45.35,8:37.22,13:43.45,28:50.39,1056
5:38.86,8:00.21,8:45.59,8:37.40,13:43.74,28:51.07,1055
5:39.01,8:00.38,8:45.82,8:37.59,13:44.03,28:51.74,1054
5:39.16,8:00.55,8:46.06,8:37.77,13:44.32,28:52.41,1053
5:39.32,8:00.72,8:46.29,8:37.96,13:44.62,28:53.09,1052
5:39.47,8:00.89,8:46.53,8:38.14,13:44.91,28:53.76,1051
5:39.62,8:01.06,8:46.76,8:38.32,13:45.20,28:54.43,1050
5:39.77,8:01.23,8:46.99,8:38.51,13:45.50,28:55.11,1049
5:39.93,8:01.40,8:47.23,8:38.69,13:45.79,28:55.78,1048
5:40.08,8:01.57,8:47.47,8:38.88,13:46.08,28:56.46,1047
