Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
203,0:00:21.25,0,Tony Malikowski,M,USA,24/07/2018,"IJA, Springfield",IJA Database
205,0:00:21.26,0,Kozlov Dmitry,M,RUS,17/07/2022,"Saint-Petersburg Open Joggling Champinship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8327
206,0:00:21.30,0,Peter Fry,M,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
206,0:00:21.30,0,Keith McNeill,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
208,0:00:21.40,0,Scott Geyman,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
209,0:00:21.60,0,Peter Prokop,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
209,0:00:21.60,0,Brook Roberts,M,GBR,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
211,0:00:21.72,0,Anthony Zeszut,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
212,0:00:21.97,0,Matt Hall,M,Unknown,17/07/2007,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2007.php
213,0:00:22.00,0,Raphael Harris,M,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
213,0:00:22.00,0,Christopher Haaser,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
215,0:00:22.10,0,Neelraj Arjune,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
216,0:00:22.16,0,Carter Randall,M,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
217,0:00:22.49,0,Yaroshenko Stepan,M,RUS,17/07/2022,"Saint-Petersburg Open Joggling Champinship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8327
218,0:00:22.78,0,Harry Rosenberg,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
219,0:00:22.84,0,Michael Barreto,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
220,0:00:22.90,0,Nicholas Boffa,M,Unknown,2021,IJA Virtual,IJA Database
221,0:00:22.99,0,Bryce Polito,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
222,0:00:23.90,0,Dan Rosenthal,M,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
222,0:00:23.90,0,Orlov Vladimir,M,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
222,0:00:23.90,0,Jerry Battenfield,M,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
225,0:00:23.92,0,Vincent Kaseman,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
226,0:00:24.00,0,Zyablitsky Alexander,M,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
227,0:00:24.20,0,Keith Baker,M,Unknown,19/07/1995,"IJA, Las Vegas",https://dev.juggle.org/history/champs/champs1995.php
227,0:00:24.20,0,Sean O'Brien,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
229,0:00:24.27,0,Ty Evans,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
230,0:00:24.50,0,Ian Caldwell,M,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
231,0:00:24.60,0,Dan Chan,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
232,0:00:24.69,0,Mike DeSalvo,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
233,0:00:24.80,0,Derek Hahn,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
234,0:00:24.99,0,Nick Showman,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
235,0:00:25.01,0,Broderick King,M,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
236,0:00:25.30,0,Jason Matkowksi,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
237,0:00:25.54,0,Arsenyev Artyom,M,RUS,17/07/2022,"Saint-Petersburg Open Joggling Champinship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8327
238,0:00:25.56,0,Simon Herholz,M,DEU,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
238,0:00:25.56,0,Michael Yoon,M,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
240,0:00:26.00,0,Brian McAllister,M,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
240,0:00:26.00,0,Ben Hestness,M,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
242,0:00:26.60,0,Steve Upmeyer,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
243,0:00:27.30,0,Nathan Biggs-Penton,M,Unknown,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
244,0:00:27.56,0,Quentin Dombro,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
245,0:00:27.60,0,Larry Schonhofen,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
245,0:00:27.60,0,Sean Carney,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
247,0:00:27.80,0,Zachary Turner,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
248,0:00:27.99,0,Seamus Whitford,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
249,0:00:28.38,0,Kirt Albrecht,M,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
250,0:00:28.60,0,Brendan Cogan,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
