Rank,IAAF Points,Distance,Finish Time,Joggler,Gender,Nationality,Date,Drops,Notes / Result Links
1190,65,3b 400m,0:01:36.40,Heather Marriott,F,USA,17/07/2007,?,https://dev.juggle.org/history/champs/champs2007.php
1191,65,3b 400m,0:01:11.00,Gabe Jakubisin,M,0,13/07/2004,?,https://dev.juggle.org/history/champs/champs2004.php
1192,65,3b 400m,0:01:11.06,Sam Hartford,M,0,28/07/2001,?,https://dev.juggle.org/history/champs/champs2001.php
1193,65,3b 400m,0:01:11.59,Joshua Edleman,M,0,05/08/2000,?,https://dev.juggle.org/history/champs/champs2000.php
1194,65,3b 400m,0:01:11.40,Bill Giduz,M,USA,06/08/1997,?,https://dev.juggle.org/history/champs/champs1997.php
1195,65,3b 400m,0:01:11.80,Stephan Cipra,M,DEU,2021,?,IJA Database
1196,64,3b 800m,0:02:44.10,Nicolas Souren,M,0,02/08/2014,?,IJA Database
1197,64,3b 800m,0:02:44.00,Paul Arneberg,M,0,14/07/2009,?,https://dev.juggle.org/history/champs/champs2009.php
1198,63,3b 5km,0:21:29.00,Kacper Suchora,M,POL,12/07/2025,?,https://www.parkrun.pl/mlynowkakrolewska/results/92/
1199,63,3b Half Marathon,1:43:54.00,Scott Jenkins,M,GBR,17/03/2024,0,https://www.strava.com/activities/10978093785
1200,63,3b 5km,0:30:20.00,EJ Coldham,F,GBR,19/12/2020,?,https://www.strava.com/activities/4491314701/overview
1201,62,3b 5km,0:21:30.00,James McDiarmid,M,GBR,27/01/2024,0,https://www.parkrun.org.uk/holyrood/results/73/
1202,62,3b 200m,0:00:32.75,Jack Levy,M,0,20/07/2011,?,IJA Database
1203,62,3b 200m,0:00:32.30,David Mlakar,M,0,20/07/2010,?,https://dev.juggle.org/history/champs/champs2010.php
1204,62,3b 200m,0:00:32.20,Jack Levy,M,0,20/07/2010,?,https://dev.juggle.org/history/champs/champs2010.php
1205,62,3b 200m,0:00:32.50,Joey Spicola,M,0,20/07/2010,?,https://dev.juggle.org/history/champs/champs2010.php
1206,62,3b 200m,0:00:32.40,Jeremy Stanley,M,0,14/07/2009,?,https://dev.juggle.org/history/champs/champs2009.php
1207,62,3b 200m,0:00:32.00,Jeremy Stanley,M,0,15/07/2008,?,https://dev.juggle.org/history/champs/champs2008.php
1208,62,3b 200m,0:00:32.94,Aaron Rosenberg,M,0,17/07/2007,?,https://dev.juggle.org/history/champs/champs2007.php
1209,62,3b 200m,0:00:32.94,Jeremy Stanley,M,0,17/07/2007,?,https://dev.juggle.org/history/champs/champs2007.php
1210,62,3b 200m,0:00:32.78,Anders Kierulf,M,0,18/07/2006,?,https://dev.juggle.org/history/champs/champs2006.php
1211,62,3b 200m,0:00:32.25,Marco Paoletti,M,0,18/07/2006,?,https://dev.juggle.org/history/champs/champs2006.php
1212,62,3b 200m,0:00:32.30,Barry Goldmeier,M,USA,17/07/2002,?,https://dev.juggle.org/history/champs/champs2002.php
1213,62,3b 200m,0:00:32.80,Andrew Swan,M,0,05/08/2000,?,https://dev.juggle.org/history/champs/champs2000.php
1214,62,3b 5km,0:30:22.00,Laurie Young,F,0,16/07/1988,?,http://www.juggling.org/orgs/ija/champs.txt
1215,62,4b 200m,0:00:32.70,Sterling Franklin,M,USA,2024,?,IJA Database
1216,62,3b 200m,0:00:32.80,Joel Hilchey,M,0,2021,?,IJA Database
1217,62,3b 200m,0:00:32.01,Matthew Feldman,M,USA,2021,?,IJA Database
1218,61,3b 5km,0:21:31.00,Scott Jenkins,M,GBR,11/07/2026,0,https://www.parkrun.org.uk/ganavan sands/results/426/
1219,61,3b 5km,0:21:31.00,Scott Jenkins,M,GBR,01/01/2026,0,https://www.parkrun.org.uk/riversideparkglenrothes/results/28/
1220,61,3b 5km,0:30:23.00,Juliane de Vries,F,DEU,04/08/2025,?,EJC results in Joggler's United Group
1221,61,3b 2 Miles,0:18:47.00,Karly Swaim,F,USA,08/06/2025,?,https://runsignup.com/Race/Photos/Location/SuperheroSprint2025/NJ/WallTwp/superherosprint
1222,61,3b Mile,0:06:13.66,Joe Lyons,M,0,25/07/2015,?,http://www.juggling.org/orgs/ija/champs.txt
1223,61,3b Marathon,3:50:07.00,Daniel Raum,M,AUT,31/05/2015,?,https://www.alphafoto.com/images.php?runID=637&sn=188        https://www.datasport.com/live/startlist/?racenr=21167
1224,61,3b Mile,0:06:13.00,Mickey Campaniello,M,0,06/08/1997,?,https://dev.juggle.org/history/champs/champs1997.php
1225,60,3b 5km,0:21:32.00,Kacper Suchora,M,POL,07/12/2024,?,https://www.parkrun.pl/mlynowkakrolewska/results/61/
1226,60,3b Marathon,3:50:15.00,Chris Edwin,M,GBR,10/10/2021,15,
1227,60,3b Marathon,3:50:21.00,Perry Romanowski,M,USA,11/01/2004,?,https://marathonview.net/result/61212976
1228,60,3b Half Marathon,1:44:07.80,Christoph Mitasch,M,AUT,2025,?,IJA Database
1229,59,3b 5km,0:21:34.00,Dan Berg,M,0,18/07/1981,?,https://dev.juggle.org/history/champs/champs1981.php
1230,58,3b 5km,0:21:35.00,Scott Jenkins,M,GBR,27/04/2024,0,https://www.parkrun.org.uk/stratfordparkstroud/results/152
1231,57,3b 5km,0:21:36.00,Scott Jenkins,M,GBR,21/12/2024,1,https://www.parkrun.org.uk/seafordbeach/results/217/
1232,57,3b 5km,0:21:36.00,Scott Jenkins,M,GBR,15/06/2024,0,https://www.parkrun.org.uk/lanarkmoor/results/214/
1233,57,3b Half Marathon,1:44:28.00,Scott Jenkins,M,GBR,16/07/2023,0,https://www.sportstimingsolutions.co.uk/rd.php?id=484
1234,57,3b 10km,0:47:01.00,Tim Butler,M,GBR,02/04/2007,?,
1235,57,3b 800m,0:02:45.80,Chris Essick,M,USA,13/07/2004,?,https://dev.juggle.org/history/champs/champs2004.php
1236,57,3b 800m,0:02:45.33,Daniel Raum,M,AUT,2025,?,IJA Database
1237,57,3b 800m,0:02:45.70,Christoph Mitasch,M,AUT,2021,?,IJA Database
1238,57,3b 800m,0:02:45.70,Daniel Raum,M,AUT,2021,?,IJA Database
1239,56,3b 5km,0:21:37.00,Scott Jenkins,M,GBR,15/11/2025,1,https://www.parkrun.org.uk/edinburgh/results/747
1240,56,3b 5km,0:30:36.00,Narelle Cabassi,F,AUS,06/01/2024,?,https://www.parkrun.com.au/zillmere/results/253/  https://www.instagram.com/p/C1vlY4tve-F/
